doctor_id,department,specialization,experience_years
5000,General,General,8
5001,Neurology,Oncology,5
5002,Pediatrics,Oncology,29
5003,Cardiology,Oncology,15
5004,Neurology,Pediatrics,26
5005,Orthopedics,Cardiology,3
5006,Pediatrics,Orthopedics,34
5007,Cardiology,Oncology,6
5008,Cardiology,General,5
5009,Neurology,Cardiology,31
5010,Pediatrics,General,17
5011,Neurology,Orthopedics,24
5012,General,Pediatrics,29
5013,Neurology,Cardiology,17
5014,Orthopedics,Neurology,26
5015,Pediatrics,Pediatrics,1
5016,Orthopedics,General,5
5017,Neurology,Cardiology,24
5018,Cardiology,Oncology,1
5019,Oncology,General,36
5020,Pediatrics,Pediatrics,34
5021,Orthopedics,Neurology,10
5022,Oncology,Pediatrics,35
5023,Orthopedics,Pediatrics,19
5024,Pediatrics,Cardiology,4
5025,Cardiology,Oncology,1
5026,General,General,15
5027,General,Oncology,1
5028,Neurology,Neurology,27
5029,Cardiology,Orthopedics,22
5030,Neurology,Cardiology,31
5031,Cardiology,Oncology,17
5032,Cardiology,Oncology,21
5033,Pediatrics,Orthopedics,9
5034,Pediatrics,Cardiology,24
5035,Oncology,Orthopedics,28
5036,Cardiology,General,1
5037,Cardiology,Neurology,33
5038,Cardiology,Orthopedics,21
5039,Neurology,Cardiology,7
5040,Cardiology,Cardiology,33
5041,Oncology,Cardiology,14
5042,Neurology,Orthopedics,39
5043,Oncology,General,22
5044,Orthopedics,Orthopedics,28
5045,Neurology,Neurology,17
5046,Orthopedics,Pediatrics,22
5047,Oncology,Cardiology,10
5048,Orthopedics,Cardiology,1
5049,Orthopedics,Oncology,11
5050,Oncology,General,34
5051,Cardiology,Neurology,32
5052,General,Oncology,23
5053,Orthopedics,Orthopedics,17
5054,Oncology,Cardiology,14
5055,Pediatrics,Neurology,18
5056,Neurology,Orthopedics,6
5057,Cardiology,Orthopedics,18
5058,Pediatrics,Orthopedics,36
5059,Pediatrics,Orthopedics,3
5060,Cardiology,General,7
5061,Oncology,Oncology,30
5062,General,Cardiology,1
5063,General,General,29
5064,Cardiology,Orthopedics,18
5065,Cardiology,Orthopedics,15
5066,Orthopedics,Pediatrics,10
5067,Oncology,Cardiology,6
5068,Cardiology,Orthopedics,38
5069,Oncology,General,23
5070,Orthopedics,Cardiology,12
5071,Neurology,General,5
5072,Pediatrics,Neurology,4
5073,Cardiology,Orthopedics,22
5074,Cardiology,General,9
5075,Pediatrics,Pediatrics,9
5076,General,Orthopedics,26
5077,Neurology,General,19
5078,Neurology,Neurology,27
5079,Oncology,General,7
5080,General,General,38
5081,Pediatrics,General,20
5082,General,Oncology,30
