hospital_id,hospital_name,city,capacity_beds
1,Hospital_0,Mumbai,307
2,Hospital_1,Hyderabad,153
3,Hospital_2,Bangalore,706
4,Hospital_3,Mumbai,116
5,Hospital_4,Bangalore,378
6,Hospital_5,Pune,507
7,Hospital_6,Pune,780
8,Hospital_7,Hyderabad,765
9,Hospital_8,Pune,326
10,Hospital_9,Bangalore,710
11,Hospital_10,Chandigarh,306
12,Hospital_11,Delhi,783
13,Hospital_12,Hyderabad,266
14,Hospital_13,Hyderabad,429
15,Hospital_14,Pune,179
16,Hospital_15,Chandigarh,450
17,Hospital_16,Chandigarh,312
18,Hospital_17,Pune,664
19,Hospital_18,Bangalore,374
20,Hospital_19,Chandigarh,484
21,Hospital_20,Bangalore,370
22,Hospital_21,Pune,760
23,Hospital_22,Delhi,486
24,Hospital_23,Delhi,588
25,Hospital_24,Hyderabad,707
26,Hospital_25,Hyderabad,792
27,Hospital_26,Mumbai,570
28,Hospital_27,Chandigarh,179
29,Hospital_28,Mumbai,658
30,Hospital_29,Mumbai,226
31,Hospital_30,Hyderabad,292
32,Hospital_31,Mumbai,281
33,Hospital_32,Bangalore,203
34,Hospital_33,Chandigarh,222
35,Hospital_34,Bangalore,452
36,Hospital_35,Mumbai,364
37,Hospital_36,Delhi,677
38,Hospital_37,Mumbai,283
39,Hospital_38,Mumbai,771
40,Hospital_39,Bangalore,359
41,Hospital_40,Delhi,260
42,Hospital_41,Hyderabad,382
43,Hospital_42,Mumbai,482
44,Hospital_43,Mumbai,560
45,Hospital_44,Chandigarh,447
46,Hospital_45,Mumbai,749
47,Hospital_46,Chandigarh,231
48,Hospital_47,Pune,136
49,Hospital_48,Bangalore,464
50,Hospital_49,Mumbai,452
